Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Total Score,Average Score,Rank,Result,Grade,GPA,Division
376,13,55,38,47,5.9,140,46.67,465,Fail,C,2.1,Third Division
377,14,80,69,48,6.5,197,65.67,232,Pass,B,2.9,First Division
378,18,74,54,65,3.0,193,64.33,253,Pass,B,2.9,First Division
379,14,73,34,84,8.6,191,63.67,264,Pass,B,2.8,First Division
380,15,34,40,98,4.9,172,57.33,358,Pass,C+,2.5,Second Division
381,18,99,88,76,2.3,263,87.67,7,Pass,A,3.9,Distinction
382,14,55,67,78,7.0,200,66.67,213,Pass,B,3.0,First Division
383,18,97,34,62,2.9,193,64.33,249,Pass,B,2.9,First Division
384,14,48,77,50,1.9,175,58.33,343,Pass,C+,2.6,Second Division
385,15,49,47,51,8.8,147,49.0,449,Fail,C,2.2,Third Division
386,14,41,99,77,5.1,217,72.33,120,Pass,B+,3.2,First Division
387,14,76,66,66,7.7,208,69.33,170,Pass,B,3.1,First Division
388,14,30,89,44,3.6,163,54.33,400,Pass,C+,2.4,Second Division
389,13,43,77,64,8.1,184,61.33,296,Pass,B,2.7,First Division
390,13,93,57,100,2.0,250,83.33,24,Pass,A,3.7,Distinction
391,13,67,98,61,4.2,226,75.33,84,Pass,B+,3.3,First Division
392,15,66,69,40,9.8,175,58.33,344,Pass,C+,2.6,Second Division
393,18,40,74,39,8.1,153,51.0,435,Pass,C+,2.3,Second Division
394,17,32,91,86,5.5,209,69.67,160,Pass,B,3.1,First Division
395,14,62,87,54,4.1,203,67.67,186,Pass,B,3.0,First Division
396,14,35,96,31,8.8,162,54.0,404,Pass,C+,2.4,Second Division
397,15,79,85,93,5.9,257,85.67,13,Pass,A,3.8,Distinction
398,14,39,69,64,7.8,172,57.33,353,Pass,C+,2.5,Second Division
399,13,34,69,36,7.8,139,46.33,466,Fail,C,2.1,Third Division
400,17,52,62,47,1.2,161,53.67,405,Pass,C+,2.4,Second Division
401,16,39,35,96,2.1,170,56.67,371,Pass,C+,2.5,Second Division
402,14,73,48,71,6.9,192,64.0,257,Pass,B,2.8,First Division
403,13,31,69,68,2.5,168,56.0,380,Pass,C+,2.5,Second Division
404,16,42,88,70,3.3,200,66.67,210,Pass,B,3.0,First Division
405,17,69,88,53,9.5,210,70.0,157,Pass,B+,3.1,First Division
406,16,31,77,89,6.0,197,65.67,231,Pass,B,2.9,First Division
407,13,94,70,75,7.8,239,79.67,47,Pass,B+,3.5,First Division
408,18,92,42,48,6.0,182,60.67,309,Pass,B,2.7,First Division
409,18,46,74,97,6.0,217,72.33,122,Pass,B+,3.2,First Division
410,16,38,82,71,1.8,191,63.67,262,Pass,B,2.8,First Division
411,15,44,71,61,4.1,176,58.67,341,Pass,C+,2.6,Second Division
412,16,53,92,68,3.5,213,71.0,142,Pass,B+,3.2,First Division
413,14,67,56,65,4.5,188,62.67,279,Pass,B,2.8,First Division
414,14,64,67,65,8.2,196,65.33,235,Pass,B,2.9,First Division
415,18,78,89,32,4.3,199,66.33,218,Pass,B,2.9,First Division
416,15,98,36,37,5.1,171,57.0,368,Pass,C+,2.5,Second Division
417,13,91,34,99,4.6,224,74.67,95,Pass,B+,3.3,First Division
418,14,89,74,70,1.8,233,77.67,68,Pass,B+,3.5,First Division
419,18,79,87,97,5.0,263,87.67,6,Pass,A,3.9,Distinction
420,17,38,60,42,2.8,140,46.67,464,Fail,C,2.1,Third Division
421,18,63,52,78,2.7,193,64.33,256,Pass,B,2.9,First Division
422,14,64,71,89,1.8,224,74.67,93,Pass,B+,3.3,First Division
423,14,30,39,31,4.2,100,33.33,500,Fail,D+,1.5,Fail
424,18,69,61,89,7.8,219,73.0,108,Pass,B+,3.2,First Division
425,13,93,82,34,3.5,209,69.67,161,Pass,B,3.1,First Division
426,16,51,59,73,3.8,183,61.0,305,Pass,B,2.7,First Division
427,14,89,68,56,6.8,213,71.0,139,Pass,B+,3.2,First Division
428,18,93,60,61,2.8,214,71.33,133,Pass,B+,3.2,First Division
429,18,40,31,50,9.1,121,40.33,487,Fail,C,1.8,Third Division
430,15,43,41,37,5.7,121,40.33,488,Fail,C,1.8,Third Division
431,16,89,68,79,5.0,236,78.67,59,Pass,B+,3.5,First Division
432,17,59,95,96,6.0,250,83.33,25,Pass,A,3.7,Distinction
433,13,64,42,73,2.5,179,59.67,325,Pass,C+,2.7,Second Division
434,17,66,75,87,6.5,228,76.0,80,Pass,B+,3.4,First Division
435,16,34,56,32,4.3,122,40.67,486,Fail,C,1.8,Third Division
436,16,55,46,99,9.1,200,66.67,212,Pass,B,3.0,First Division
437,16,91,89,31,2.5,211,70.33,151,Pass,B+,3.1,First Division
438,17,33,93,73,5.6,199,66.33,216,Pass,B,2.9,First Division
439,16,71,64,31,6.4,166,55.33,391,Pass,C+,2.5,Second Division
440,18,47,99,64,1.3,210,70.0,158,Pass,B+,3.1,First Division
441,17,69,59,59,4.3,187,62.33,280,Pass,B,2.8,First Division
442,16,68,100,37,7.6,205,68.33,181,Pass,B,3.0,First Division
443,18,43,92,51,8.4,186,62.0,285,Pass,B,2.8,First Division
444,15,61,57,73,3.8,191,63.67,265,Pass,B,2.8,First Division
445,16,80,89,87,8.2,256,85.33,15,Pass,A,3.8,Distinction
446,17,67,66,65,9.7,198,66.0,228,Pass,B,2.9,First Division
447,14,52,51,98,8.7,201,67.0,202,Pass,B,3.0,First Division
448,16,92,97,60,2.1,249,83.0,27,Pass,A,3.7,Distinction
449,14,44,49,76,7.7,169,56.33,376,Pass,C+,2.5,Second Division
450,18,54,97,84,3.9,235,78.33,61,Pass,B+,3.5,First Division
451,15,46,93,91,9.9,230,76.67,73,Pass,B+,3.4,First Division
452,13,95,46,59,5.4,200,66.67,206,Pass,B,3.0,First Division
453,15,82,41,84,2.1,207,69.0,173,Pass,B,3.1,First Division
454,16,80,51,45,7.5,176,58.67,338,Pass,C+,2.6,Second Division
455,14,68,46,41,3.9,155,51.67,431,Pass,C+,2.3,Second Division
456,14,80,39,46,10.0,165,55.0,393,Pass,C+,2.4,Second Division
457,17,99,94,45,9.8,238,79.33,52,Pass,B+,3.5,First Division
458,14,35,51,41,6.9,127,42.33,485,Fail,C,1.9,Third Division
459,17,96,79,37,2.2,212,70.67,146,Pass,B+,3.1,First Division
460,18,36,43,32,7.2,111,37.0,494,Fail,D+,1.6,Fail
461,13,80,93,45,1.8,218,72.67,109,Pass,B+,3.2,First Division
462,16,71,76,59,1.3,206,68.67,176,Pass,B,3.1,First Division
463,17,93,58,52,8.4,203,67.67,191,Pass,B,3.0,First Division
464,13,44,65,34,2.9,143,47.67,459,Fail,C,2.1,Third Division
465,14,58,81,94,4.4,233,77.67,65,Pass,B+,3.5,First Division
466,14,62,36,59,9.8,157,52.33,425,Pass,C+,2.3,Second Division
467,13,56,58,50,4.0,164,54.67,397,Pass,C+,2.4,Second Division
468,14,65,40,99,3.7,204,68.0,183,Pass,B,3.0,First Division
469,18,58,62,51,9.3,171,57.0,369,Pass,C+,2.5,Second Division
470,18,67,35,61,2.0,163,54.33,402,Pass,C+,2.4,Second Division
471,13,86,61,62,7.8,209,69.67,163,Pass,B,3.1,First Division
472,17,56,80,45,9.9,181,60.33,315,Pass,B,2.7,First Division
473,17,84,87,67,9.1,238,79.33,53,Pass,B+,3.5,First Division
474,13,62,55,43,6.9,160,53.33,413,Pass,C+,2.4,Second Division
475,17,97,75,65,3.8,237,79.0,54,Pass,B+,3.5,First Division
476,17,95,58,52,3.3,205,68.33,178,Pass,B,3.0,First Division
477,18,39,33,95,8.4,167,55.67,389,Pass,C+,2.5,Second Division
478,17,34,42,31,8.9,107,35.67,496,Fail,D+,1.6,Fail
479,15,67,68,94,5.7,229,76.33,76,Pass,B+,3.4,First Division
480,16,42,44,96,3.2,182,60.67,308,Pass,B,2.7,First Division
481,14,60,58,81,2.0,199,66.33,214,Pass,B,2.9,First Division
482,15,76,58,91,1.8,225,75.0,88,Pass,B+,3.3,First Division
483,17,81,61,52,7.5,194,64.67,241,Pass,B,2.9,First Division
484,18,85,31,55,4.8,171,57.0,365,Pass,C+,2.5,Second Division
485,13,44,76,97,9.1,217,72.33,126,Pass,B+,3.2,First Division
486,17,58,51,84,7.7,193,64.33,251,Pass,B,2.9,First Division
487,18,37,56,35,2.7,128,42.67,483,Fail,C,1.9,Third Division
488,16,34,96,64,6.5,194,64.67,242,Pass,B,2.9,First Division
489,17,58,85,51,4.9,194,64.67,247,Pass,B,2.9,First Division
490,13,76,50,72,6.2,198,66.0,224,Pass,B,2.9,First Division
491,18,97,76,44,7.6,217,72.33,121,Pass,B+,3.2,First Division
492,18,74,88,89,8.3,251,83.67,22,Pass,A,3.7,Distinction
493,18,31,35,41,8.6,107,35.67,497,Fail,D+,1.6,Fail
494,16,56,48,78,3.3,182,60.67,313,Pass,B,2.7,First Division
495,17,65,86,71,1.3,222,74.0,99,Pass,B+,3.3,First Division
496,16,65,98,67,7.7,230,76.67,74,Pass,B+,3.4,First Division
497,14,55,32,74,2.0,161,53.67,408,Pass,C+,2.4,Second Division
498,14,72,30,64,3.8,166,55.33,390,Pass,C+,2.5,Second Division
499,17,56,87,59,1.0,202,67.33,195,Pass,B,3.0,First Division
500,16,98,67,59,7.1,224,74.67,94,Pass,B+,3.3,First Division
